Product,Qty Available,Reorder Level
Northwind Traders Boysenberry Spread,0,25
Northwind Traders Dried Pears,0,10
Northwind Traders Curry Sauce,0,10
Northwind Traders Fruit Cocktail,0,10
Northwind Traders Scones,0,5
Northwind Traders Beer,0,15
Northwind Traders Clam Chowder,0,10
Northwind Traders Chocolate,0,25
Northwind Traders Gnocchi,10,30
Northwind Traders Almonds,0,5
Northwind Traders Dried Plums,0,50
Northwind Traders Green Tea,50,100
Northwind Traders Granola,0,20
Northwind Traders Potato Chips,0,30
Northwind Traders Cake Mix,0,10
Northwind Traders Tea,0,20
Northwind Traders Pears,0,10
Northwind Traders Peaches,0,10
Northwind Traders Pineapple,0,10
Northwind Traders Cherry Pie Filling,0,10
Northwind Traders Green Beans,0,10
Northwind Traders Corn,0,10
Northwind Traders Peas,0,10
Northwind Traders Tuna Fish,0,30
Northwind Traders Smoked Salmon,0,30
Northwind Traders Hot Cereal,0,50
Northwind Traders Vegetable Soup,0,100
Northwind Traders Chicken Soup,0,100
